date,open,high,low,close,adj close,volume
9/12/17,5.211582783,28,18,9.8,13.552,4356178
9/13/17,11.8676225,30,26,5.211582783,14.672,4356201
9/14/17,0.892305687,29,17,11.8676225,15.792,4356224
9/15/17,7.982590741,21,28,0.892305687,16.912,4356247
9/16/17,12.34097843,27,27,7.982590741,18.032,4356270
9/17/17,15.24742237,29,14,12.34097843,19.152,4356293
9/18/17,24.67437891,8,8,15.24742237,18.592,4356316
9/19/17,4.886255838,25,21,24.67437891,18.032,4356339
9/20/17,24.07244286,28,6,4.886255838,17.472,4356362
9/21/17,8.705811033,30,25,24.07244286,16.912,4356385
9/22/17,15.59701075,24,26,8.705811033,16.352,4356408
9/23/17,24.28671274,18,18,15.59701075,16.352,4356408
9/24/17,15.39274337,28,12,24.28671274,16.352,4356408
9/25/17,11.77962337,23,9,15.39274337,16.352,4356408
9/26/17,12.01397898,24,27,11.77962337,16.352,4356408
9/27/17,8.65959385,15,15,12.01397898,16.352,4356408
9/28/17,23.87466056,30,16,8.65959385,16.352,4356408
9/29/17,18.86019446,10,7,23.87466056,16.352,4356408
9/30/17,22.07348449,25,17,18.86019446,16.352,4356408
10/1/17,8.327912002,5,19,22.07348449,16.352,4356408
10/2/17,12.71416451,20,12,8.327912002,16.352,4356408
10/3/17,24.81283453,29,26,12.71416451,16.352,4356408
10/4/17,2.588360886,7,13,24.81283453,16.352,4356408
10/5/17,24.20106519,30,28,2.588360886,16.352,4356408
10/6/17,7.635724241,25,10,24.20106519,16.352,4356408
10/7/17,18.61573028,8,21,7.635724241,16.352,4356408
10/8/17,17.23969512,12,17,18.61573028,16.352,4356408
10/9/17,16.66584781,23,21,17.23969512,16.352,4356408
10/10/17,2.633855997,7,5,16.66584781,16.352,4356408
10/11/17,20.75257354,21,13,2.633855997,16.352,4356408
10/12/17,21.23357472,11,23,20.75257354,16.352,4356408
10/13/17,24.70551516,26,30,21.23357472,16.352,4356408
10/14/17,13.58255529,17,29,24.70551516,16.352,4356408
10/15/17,19.11776758,5,8,13.58255529,16.352,4356408
10/16/17,19.44314638,25,23,19.11776758,16.352,4356408
